vertical_Accel_x,vertical_Accel_y,vertical_Accel_z,accel_time_list
-5.343,11.272,0.038,7.838
-5.334,11.098,-0.689,7.84
-3.856,10.192,-1.12,7.924
-2.62,8.34,-1.3,7.93
-2.176,7.432,-1.02,7.932
-2.496,8.172,-0.72,7.934
-3.696,9.572,-0.42,7.935
-4.093,10.994,-1.689,8.024
-4.228,11.567,-1.873,8.025
-3.646,11.853,-3.315,8.027
-3.356,9.834,-3.946,8.028
-3.732,8.942,-3.893,8.038
-1.9,9.8,-2.1,8.124
-1.457,9.876,-1.152,8.126
-1.732,10.147,-1.257,8.132
-1.647,9.898,-1.361,8.134
-1.699,9.785,-1.517,8.135
-1.22,9.859,-0.753,8.224
-1.178,9.445,-0.882,8.228
-0.855,9.39,-1.063,8.23
-0.529,9.243,-0.714,8.232
-0.392,9.216,-0.739,8.237
-0.188,8.637,-3.205,8.324
0.238,8.953,-3.299,8.327
0.784,8.977,-3.829,8.328
0.234,8.588,-4.225,8.33
-0.423,9.448,-3.881,8.332
-0.517,10.156,-3.738,8.424
-0.719,10.813,-4.255,8.425
-0.954,11.425,-4.43,8.427
-1.296,11.586,-4.266,8.438
-2.265,12.41,-4.716,8.44
-3.702,13.587,-5.927,8.524
-3.505,14.462,-6.382,8.526
-3.988,10.841,-9.041,8.531
-3.573,9.063,-7.196,8.533
-3.543,8.116,-5.449,8.534
-3.741,7.306,-4.906,8.624
-4.567,7.433,-5.367,8.625
-5.224,8.218,-5.818,8.627
-5.592,8.961,-6.427,8.633
-5.582,9.112,-6.512,8.635
-6.27,8.257,-6.439,8.724
-5.965,7.922,-6.13,8.727
-5.704,7.335,-6.409,8.728
-5.757,6.952,-6.513,8.739
-5.965,6.222,-6.03,8.741
-6.527,4.693,-5.878,8.823
-6.445,4.635,-5.104,8.825
-6.309,4.591,-4.773,8.837
-6.1,4.34,-4.62,8.839
-5.588,3.698,-5.106,8.924
-5.032,3.997,-4.959,8.925
-4.652,4.623,-5.018,8.927
-4.93,4.672,-4.113,8.929
-4.26,4.543,-3.926,8.93
-2.393,5.413,-4.067,9.024
-2.3,5.4,-4.7,9.025
-2.384,5.031,-5.289,9.027
-2.367,4.767,-5.533,9.029
-2.709,4.482,-5.578,9.035
-2.4,2.0,-7.5,9.129
-1.895,1.112,-8.245,9.131
-1.774,0.598,-8.946,9.132
-2.942,0.627,-9.398,9.134
-4.726,1.562,-10.434,9.136
-5.543,4.274,-11.178,9.224
-3.813,4.052,-11.643,9.225
-1.535,3.039,-10.683,9.235
-1.296,2.583,-8.952,9.237
-2.157,2.826,-8.122,9.238
-2.669,2.367,-9.794,9.327
-4.073,2.418,-11.235,9.329
-4.569,1.667,-12.194,9.331
-4.284,0.596,-12.337,9.332
-3.325,1.6,-11.144,9.336
-1.33,-1.115,-10.704,9.424
-1.085,-0.893,-9.948,9.425
-1.1,-0.7,-10.0,9.427
-1.096,0.252,-9.937,9.429
-0.948,0.426,-9.719,9.43
-1.442,1.995,-9.623,9.524
-1.271,1.948,-9.362,9.526
-1.105,1.844,-9.68,9.529
-0.834,1.896,-9.619,9.531
0.398,2.062,-9.489,9.532
0.269,2.271,-9.244,9.624
